date_time,open,high,low,close,volume
01-01-2023,1.2574,1.2838,1.2399,1.2741,64743.07
02-01-2023,1.2741,1.3244,1.2508,1.3144,121355.97
03-01-2023,1.3144,1.3591,1.304,1.3355,105678.16
04-01-2023,1.3355,1.6244,1.3292,1.5492,618865.85
05-01-2023,1.5492,1.6482,1.5084,1.523,162223.44
06-01-2023,1.523,1.6134,1.4805,1.5934,130873.16
07-01-2023,1.5934,1.6004,1.5433,1.5612,51995.03
08-01-2023,1.5612,1.6586,1.5169,1.6424,117985.77
09-01-2023,1.6424,1.7222,1.6225,1.6419,284711.3
10-01-2023,1.6419,1.666,1.5937,1.6439,130072.02
11-01-2023,1.6439,1.8356,1.5552,1.823,420230.86
12-01-2023,1.823,1.8848,1.7145,1.831,492962.11
13-01-2023,1.831,2.0057,1.7792,1.9553,491496.62
14-01-2023,1.9553,2.3549,1.9462,2.2441,979398.35
15-01-2023,2.2441,2.2732,2.1046,2.2406,429034.95
16-01-2023,2.2406,2.4384,2.0691,2.1923,1029416.13
17-01-2023,2.1923,2.2648,2.1453,2.1546,494185.21
18-01-2023,2.1546,2.232,1.9571,1.9738,529042.96
19-01-2023,1.9738,2.1588,1.9712,2.1015,420537.96
20-01-2023,2.1015,2.403,2.0458,2.39,908794.37
21-01-2023,2.39,2.4736,2.3043,2.3225,502487.09
22-01-2023,2.3225,2.5941,2.3202,2.3995,540207.53
23-01-2023,2.3995,2.71,2.3974,2.5392,531351.1
24-01-2023,2.5392,2.6194,2.3143,2.3557,358806.81
25-01-2023,2.3557,2.63,2.2783,2.5417,571524.77
26-01-2023,2.5417,2.7183,2.494,2.5224,525590.11
27-01-2023,2.5224,2.587,2.3805,2.5577,460790.77
28-01-2023,2.5577,2.6817,2.4348,2.4776,328464.05
29-01-2023,2.4776,2.6051,2.4352,2.5695,310766.22
30-01-2023,2.5695,2.5805,2.2241,2.3082,391795.32
31-01-2023,2.3082,2.379,2.2736,2.3271,247566.43
01-02-2023,2.3271,2.4311,2.168,2.425,307910.99
02-02-2023,2.425,2.5733,2.4056,2.4425,431501.6
03-02-2023,2.4425,2.5161,2.4003,2.5022,252282.63
04-02-2023,2.5022,2.5781,2.4269,2.5007,234722.62
05-02-2023,2.5007,2.5546,2.3325,2.3876,310204.99
06-02-2023,2.3876,2.427,2.2832,2.308,156755.25
07-02-2023,2.308,2.5109,2.3058,2.4914,298697.47
08-02-2023,2.4914,2.844,2.4746,2.6391,1114255.66
09-02-2023,2.6391,2.643,2.1916,2.2678,850115.86
10-02-2023,2.2678,2.3064,2.1979,2.2491,334249.51
11-02-2023,2.2491,2.296,2.2066,2.2866,128307.02
12-02-2023,2.2866,2.4129,2.1939,2.237,411308.66
13-02-2023,2.237,2.2523,2.0928,2.1866,236526.11
14-02-2023,2.1866,2.2599,2.1157,2.246,332172.21
15-02-2023,2.246,2.5276,2.2074,2.5145,488314.43
16-02-2023,2.5145,2.5556,2.3024,2.3123,635377.45
17-02-2023,2.3123,2.484,2.2987,2.4571,334312.46
18-02-2023,2.4571,2.699,2.4571,2.5747,557559.79
19-02-2023,2.5747,2.69,2.512,2.5813,488066.64
20-02-2023,2.5813,2.764,2.477,2.703,439576.87
21-02-2023,2.703,2.7152,2.4879,2.5665,492303.18
22-02-2023,2.5665,2.5717,2.4,2.5054,303299.45
23-02-2023,2.5054,2.5627,2.4157,2.4695,264123.95
24-02-2023,2.4695,2.4883,2.2547,2.3124,440953.05
25-02-2023,2.3124,2.3357,2.1945,2.2893,284262.83
26-02-2023,2.2893,2.3847,2.2701,2.3767,241276.01
27-02-2023,2.3767,2.4234,2.25,2.3461,246121.84
28-02-2023,2.3461,2.3542,2.2134,2.2293,172697.01
01-03-2023,2.2293,2.3654,2.2044,2.3193,240528.97
02-03-2023,2.3193,2.3311,2.2087,2.2582,152855.27
03-03-2023,2.2582,2.2582,2.0313,2.0989,259277.9
04-03-2023,2.0989,2.1169,1.98,2.051,152213.28
05-03-2023,2.051,2.1149,2.0188,2.0318,120699.39
06-03-2023,2.0318,2.0793,1.985,2.0559,97267.79
07-03-2023,2.0559,2.0935,1.945,2.0062,171119.01
08-03-2023,2.0062,2.0137,1.8175,1.8401,274206.44
09-03-2023,1.8401,1.92,1.7291,1.7902,531100.29
10-03-2023,1.7902,1.8114,1.6722,1.7979,562347.49
11-03-2023,1.7979,1.8584,1.692,1.7972,396445.55
12-03-2023,1.7972,1.9594,1.6272,1.9382,280437
13-03-2023,1.9382,2.1373,1.8938,2.0351,561453.45
14-03-2023,2.0351,2.21,1.9746,2.117,326507.08
15-03-2023,2.117,2.1539,1.8666,1.924,352829.98
16-03-2023,1.924,1.9786,1.8909,1.9636,278395.51
17-03-2023,1.9636,2.1636,1.9356,2.1608,375196.71
18-03-2023,2.1608,2.2132,2.063,2.0792,345344.55
19-03-2023,2.0792,2.2021,2.0787,2.133,374062.22
20-03-2023,2.133,2.224,1.9687,1.9938,705183.42
21-03-2023,1.9938,2.0814,1.9236,2.0702,346993.53
22-03-2023,2.0702,2.078,1.8751,1.9448,310529.59
23-03-2023,1.9448,2.0728,1.922,2.0476,222987.39
24-03-2023,2.0476,2.0506,1.9285,1.9629,351096.29
25-03-2023,1.9629,1.9967,1.893,1.9241,117954.9
26-03-2023,1.9241,1.9829,1.9151,1.9593,101116.87
27-03-2023,1.9593,1.9662,1.8146,1.846,410020.89
28-03-2023,1.846,2.0858,1.8099,1.8842,226744.34
29-03-2023,1.8842,2.0029,1.8781,1.999,405981.43
30-03-2023,1.999,2.0378,1.9022,1.9268,309930.59
31-03-2023,1.9268,2.0112,1.8874,1.9901,274624.86
01-04-2023,1.9901,2.0105,1.958,1.9882,139349.44
02-04-2023,1.9882,2.0105,1.8887,1.919,164759.3
03-04-2023,1.919,2.0233,1.8542,1.9481,358105.81
04-04-2023,1.9481,2.0124,1.9174,1.9951,254897.95
05-04-2023,1.9951,2.0812,1.9864,2.0273,450491.41
06-04-2023,2.0273,2.0306,1.9438,1.9864,244799.58
07-04-2023,1.9864,2.0287,1.9521,2.0168,277902.15
08-04-2023,2.0168,2.0201,1.9535,1.9704,125300.71
09-04-2023,1.9704,2.039,1.9307,2.0081,128462.48
10-04-2023,2.0081,2.0702,1.9677,2.0696,250848.26
11-04-2023,2.0696,2.1058,2.0409,2.0554,344872.76
12-04-2023,2.0554,2.244,1.9703,2.2232,1359502.12
13-04-2023,2.2232,2.2262,2.1592,2.2046,519651.73
14-04-2023,2.2046,2.2785,2.1536,2.2211,615813.85
15-04-2023,2.2211,2.4075,2.175,2.3157,993682.77
16-04-2023,2.3157,2.3573,2.2665,2.3245,652114.75
17-04-2023,2.3245,2.3385,2.2343,2.2884,634915.21
18-04-2023,2.2884,2.4,2.2406,2.346,625244.24
19-04-2023,2.346,2.4024,2.0908,2.1483,1077905.58
20-04-2023,2.1483,2.1991,2.0215,2.0458,564081.68
21-04-2023,2.0458,2.067,1.8829,1.9276,452757.74
22-04-2023,1.9276,1.952,1.8964,1.9458,219524.27
23-04-2023,1.9458,1.9506,1.8437,1.9127,421297.19
24-04-2023,1.9127,1.944,1.85,1.8843,265195.68
25-04-2023,1.8843,1.9873,1.843,1.9617,283753.72
26-04-2023,1.9617,2.0271,1.7824,1.8909,714791.52
27-04-2023,1.8909,1.9564,1.8759,1.9235,605823.25
28-04-2023,1.9235,1.9408,1.8739,1.9173,274076.23
29-04-2023,1.9173,1.9592,1.9134,1.9378,213023.19
30-04-2023,1.9378,1.9872,1.8939,1.9302,190146.46
